mortality_trend,cohort_effect,smoking_index,crude_rate,premium_band,postcode_score,tenure_months,marketing_segment,contact_recency,web_logins,paperless_score,call_centre_index,app_sessions,survey_score,annuity_60,life_exp_60,survival_to_80
-1.3014,0.9749,-0.5107,-0.842,-1.824,20.627,-6.476,-0.224,-5.215,3.264,-10.741,5.324,-2.19,10.029,-1.1355,1.4674,-1.9806
0.9914,1.3905,-1.0522,-7.545,-7.185,2.672,-9.967,14.501,10.994,7.752,7.923,-10.856,9.572,5.945,2.7914,2.7759,-0.7826
-0.2219,-1.0667,-0.4849,9.835,3.544,-4.846,-3.244,-8.967,-7.667,-11.52,1.615,7.641,-11.017,8.652,-1.0454,-0.569,-0.6821
0.6509,1.1466,0.1124,-1.51,-11.186,7.897,-6.928,-4.474,7.361,-8.399,7.094,-0.523,-11.49,5.324,1.9157,1.076,0.4075
-1.7757,-0.2561,-0.2615,-7.749,3.363,0.034,-12.859,1.722,13.526,-0.911,-14.9,9.819,-10.313,-2.114,-2.1949,0.0305,-2.4829
-0.8064,-2.094,-0.2125,0.149,-0.483,7.96,-4.651,-8.99,-0.279,-4.922,-7.287,-2.056,-15.349,-2.089,-2.0984,-1.8534,-0.9701
2.4474,-0.2381,0.1234,1.138,1.479,-16.096,-5.987,-8.625,-5.411,-0.22,-6.053,-3.626,-1.57,9.946,2.5705,-0.2936,0.0068
-1.1469,1.332,-0.6163,1.67,-3.034,15.888,-4.819,-10.775,17.993,3.335,-10.43,4.296,15.98,3.834,-0.7283,2.036,-1.9193
2.4857,-0.1363,-0.4545,0.548,2.007,-3.633,-5.938,0.99,-9.664,9.949,-0.176,8.676,0.044,-8.54,2.7605,0.3819,-0.5718
0.1098,-0.8033,-0.7736,3.847,7.115,-6.474,5.479,1.929,0.571,-5.214,15.182,-7.754,3.508,-7.456,-0.5917,0.1161,-0.8135
1.2501,0.9249,1.7992,1.398,-16.53,-8.299,-2.733,4.251,-6.197,-17.587,6.909,3.685,-7.527,2.773,2.5279,0.638,2.3598
0.2078,0.4309,0.7734,-2.689,11.863,9.207,-3.026,5.319,11.33,9.699,-5.432,0.624,-11.881,-0.885,0.5955,-0.045,1.033
-0.3022,-1.1421,-0.2562,-8.434,1.619,4.509,8.188,3.219,-2.801,-4.389,-6.292,-16.766,4.314,3.613,-1.0631,-0.8768,-0.5214
-0.3331,-0.4058,0.4104,-11.308,-2.536,4.493,8.976,17.041,-6.409,2.86,0.391,2.078,0.744,-0.183,-0.6282,-0.6929,0.1901
-0.4059,1.1518,-1.8388,2.125,-2.533,-14.161,-4.121,7.147,7.914,-6.303,4.619,9.525,-2.082,-0.372,0.2553,4.142,-2.3548
2.419,-0.4471,-1.2553,0.209,4.018,-0.363,-7.392,13.322,4.001,0.296,22.99,-5.654,4.645,2.548,2.1816,1.2774,-1.5035
0.7859,-0.2022,0.2492,4.898,-2.949,-15.425,-5.006,2.019,-7.59,4.752,9.865,5.125,-10.462,-8.744,0.708,-0.367,0.6378
2.5799,1.0652,0.6948,-4.093,6.069,2.229,9.239,9.012,6.204,8.793,-8.498,8.904,12.532,4.238,4.7068,0.6494,0.5318
-0.2562,0.995,0.1509,9.56,-1.916,-7.333,-13.293,6.455,6.533,-12.09,-3.455,-4.068,-10.222,-9.457,0.3736,0.7246,-0.086
-0.7603,0.0682,-0.7019,-8.284,2.511,6.815,-12.358,6.851,8.123,0.771,-9.7,16.305,2.089,-6.085,-0.8855,0.8498,-1.4801
-0.5079,0.9731,0.1075,-3.848,-1.725,-7.24,-11.171,-16.024,-2.101,1.57,-4.494,-2.939,0.534,4.912,0.0365,0.9249,-0.223
0.5641,-0.5644,1.0163,-4.347,-14.804,-7.516,-0.555,-1.443,0.505,2.026,2.617,-6.945,-12.088,-7.711,0.1084,-1.0778,1.4238
-0.2676,0.8037,-0.0697,-3.761,-4.718,-5.765,-4.275,2.464,9.365,-3.061,3.622,12.91,6.164,12.033,0.3102,0.8966,-0.3212
1.085,-0.5029,2.1682,-8.386,4.173,-3.01,-0.577,-2.24,-10.942,-2.64,1.233,-6.708,0.842,-6.107,0.8193,-0.5915,2.7137
-0.3438,1.3295,-0.0504,-6.327,-1.922,0.751,15.277,-4.085,4.979,-17.472,-0.099,-0.882,3.046,-20.555,0.5871,1.3949,-0.2836
0.477,-0.7465,-0.6823,-5.208,-13.161,4.766,7.233,7.746,11.511,-18.001,-8.991,0.475,0.104,2.951,-0.1813,0.1066,-0.5108
0.3667,1.731,-0.1791,3.472,1.625,10.875,15.004,4.317,8.496,-1.352,3.171,13.822,8.485,8.907,1.988,1.9131,0.0781
-0.5595,-0.3456,-0.9399,-0.593,-3.737,-9.071,21.193,-0.44,3.712,7.93,5.893,2.841,6.914,9.821,-0.876,0.8482,-1.533
0.1579,0.0026,1.2525,-1.006,-3.868,5.6,-9.884,-10.403,-9.488,-9.203,8.242,19.325,12.93,0.113,0.2552,-0.5485,1.4826
-0.976,0.8944,0.2771,2.778,-13.341,-12.939,15.082,-0.17,7.192,-10.854,12.58,-0.134,8.654,-7.382,-0.6712,0.6746,-0.6493
-1.6898,0.4679,0.0813,-1.311,3.984,12.073,3.318,1.311,10.002,5.599,-8.271,19.108,-0.211,14.159,-1.8332,0.4273,-1.9758
2.9829,-1.3559,0.0531,-1.555,7.136,-1.994,-3.849,6.719,9.287,-16.709,4.328,6.181,0.708,-13.218,1.2527,-1.3985,-0.602
-1.0617,1.2227,0.3808,-8.958,9.753,-1.876,-10.025,10.935,-9.642,-0.815,-3.943,5.488,-9.203,10.664,-0.672,0.8912,-0.6562
0.3654,-0.6043,0.9419,5.825,2.585,-8.903,2.027,8.126,-13.268,13.064,10.127,-2.488,10.757,-5.847,-0.1196,-1.0786,1.2156
1.0347,-1.2237,0.3326,2.419,8.007,-10.44,-0.997,10.383,1.793,13.213,-13.267,5.382,-12.482,2.822,-0.1237,-1.4822,0.7906
0.9633,-1.6028,0.196,1.746,-1.763,-5.661,-7.569,0.21,6.433,-1.954,-4.92,2.396,4.515,-7.522,-0.5815,-1.7637,0.6049
-0.1866,0.0425,-0.236,2.701,8.836,0.782,-25.333,-7.754,3.877,-5.693,6.631,-9.832,-1.557,5.412,-0.2137,0.2707,-0.4427
0.3625,-1.6399,0.3732,3.066,-5.766,-11.021,-2.362,-6.632,-8.248,-1.175,-15.748,-4.164,10.242,-12.879,-1.1216,-1.9694,0.6488
-0.6723,1.1128,-1.4107,-1.152,-4.768,-10.731,8.555,-8.785,-1.733,6.267,-3.031,-7.242,-1.897,17.796,-0.1654,3.1234,-2.2207
-0.1144,-0.552,-0.9952,-6.067,9.433,8.497,4.273,2.844,6.127,7.979,14.096,0.875,3.791,17.455,-0.5387,0.7404,-1.1438
0.7586,-0.5282,0.5893,-2.137,-3.814,-11.58,5.132,13.174,0.562,0.52,4.778,6.311,-15.821,3.465,0.2827,-0.9231,1.0422
-0.0247,0.9025,1.7847,2.774,-14.622,6.956,15.3,-2.793,6.991,2.735,-1.01,-11.558,5.635,-2.96,0.6808,0.6581,1.9417
0.8333,2.865,-0.4313,-2.079,-5.917,-1.985,9.371,-6.21,-3.477,11.417,-1.409,-0.494,-1.952,-8.552,4.0663,3.3281,-0.1505
0.951,-0.8334,-0.6034,7.11,-12.932,-11.572,-4.489,-14.016,-4.719,-7.469,0.817,-8.664,7.413,4.622,0.3082,-0.1855,-0.2772
-1.3875,-0.3906,2.8397,1.701,2.727,-6.728,-9.901,4.376,-5.76,-8.12,-1.049,-6.498,-1.289,-9.891,-1.856,0.2403,1.5934
-0.9407,-0.5972,0.614,-3.615,24.702,-7.309,-8.63,-11.451,2.821,6.157,4.347,15.328,-4.06,-11.618,-1.4345,-0.9263,-0.31
-1.0545,1.2396,-0.7698,-0.785,2.95,12.286,5.229,-2.789,-20.117,-14.66,0.318,-15.854,3.141,-5.804,-0.6687,2.1676,-1.8487
0.7178,-2.4707,1.7833,-1.628,2.901,-7.144,17.175,6.205,-6.055,17.115,13.203,-3.722,3.869,-3.655,-1.6779,-2.8182,2.257
1.9387,0.5757,-1.6212,-4.164,-8.665,-3.103,-3.921,9.278,18.704,-8.575,-4.223,-17.336,-6.134,-3.225,3.0665,3.0913,-1.5587
-0.3409,1.6848,-0.3132,2.902,3.541,-0.448,13.707,-11.746,-6.416,-4.341,9.466,7.557,-14.191,7.222,0.8154,1.9637,-0.6082
0.4422,1.1269,-0.8298,3.289,-12.46,-11.747,-7.824,-8.23,0.428,-4.664,5.128,-8.765,5.711,7.816,1.563,2.1774,-0.7233
-0.4346,-0.4632,-1.1866,-7.113,6.573,6.867,-8.08,-4.59,10.77,-11.311,13.569,-9.363,-6.557,1.984,-0.7631,1.1451,-1.6464
-0.9611,1.2867,0.3104,-1.385,-9.446,-12.324,2.137,4.247,0.937,-4.298,-8.512,-1.809,-3.814,7.493,-0.4762,1.0402,-0.5977
-0.5128,1.3249,-0.7631,2.33,-8.071,-2.646,2.168,3.588,-1.976,-9.103,0.82,-3.617,3.921,-6.954,0.2002,2.2797,-1.2861
1.6092,-0.0126,-0.0745,6.261,-12.291,-1.691,3.508,-10.879,2.62,0.125,-0.397,-1.62,4.688,13.532,1.9573,0.1092,0.2973
0.9501,-1.0444,0.0534,0.716,-1.725,-5.106,-0.272,-0.993,-12.995,-4.157,0.844,-6.325,4.439,-7.151,0.0405,-1.0463,0.5007
-0.4269,0.2044,-0.308,-5.99,-0.066,-2.472,-3.58,-4.888,7.225,4.404,-8.43,-6.835,-1.183,-3.095,-0.3485,0.501,-0.658
0.8651,-2.7869,-0.4537,-4.05,3.663,-7.333,6.993,1.694,-4.255,-5.514,0.039,-7.211,-11.195,12.105,-1.9075,-2.2752,-0.14
-0.9544,-0.0191,-0.1183,-1.224,3.26,12.238,1.677,-11.762,-5.599,-1.944,-10.11,-10.674,4.241,-14.041,-1.1447,0.1101,-1.0112
0.2009,-1.2574,0.7938,-5.729,0.551,9.018,2.9,-11.339,3.923,-6.555,13.328,-3.196,-10.155,5.371,-0.8736,-1.6968,0.979
0.1252,-1.4387,0.2366,6.036,-5.956,4.314,15.28,-2.922,7.497,-10.265,-4.622,0.014,-11.184,8.2,-1.0149,-1.7607,0.3602
0.1019,-2.9172,0.1064,-5.184,6.293,2.223,-6.945,-0.478,-6.66,12.711,6.122,-5.966,-7.998,5.123,-2.1655,-3.0449,0.1647
-0.5673,0.8445,-1.3352,-4.146,-17.688,5.523,6.359,7.883,5.114,-7.515,7.685,14.417,27.058,2.571,-0.2304,2.7596,-1.9769
-0.4972,-0.4082,0.4094,-0.548,8.302,5.782,3.376,11.781,5.782,-3.723,-10.362,-2.47,6.515,-3.286,-0.8943,-0.6947,0.0874
1.3365,-0.1594,0.2465,3.437,9.845,-9.354,-3.272,2.339,3.421,-3.075,-10.147,10.523,0.896,8.711,1.4853,-0.3434,0.6196
-0.5004,-0.2027,0.2569,-3.77,-1.149,-2.423,6.594,-4.937,9.749,1.974,0.324,5.973,15.895,1.539,-0.7493,-0.381,-0.2126
2.3514,-0.12,0.5465,-1.984,3.055,8.04,1.401,4.119,-9.538,16.053,8.758,-6.911,-4.446,-11.607,2.6982,-0.6193,0.6395
-1.514,1.724,0.0169,2.268,-14.739,-1.512,-7.987,-4.469,-9.054,-7.242,-9.371,2.557,-2.993,-12.091,-1.1644,1.7727,-1.7511
2.5427,0.6701,0.1098,1.857,-7.033,1.552,1.365,7.519,16.581,14.338,-0.179,5.075,-1.364,-0.977,4.0705,0.5741,0.0477
0.1917,-1.7978,0.5448,3.659,-7.388,-4.785,6.873,9.723,-5.31,-0.617,1.746,9.505,-7.512,-8.587,-1.2886,-2.2486,0.7411
-1.6967,1.8884,-0.1545,-3.762,1.779,-7.33,-2.682,-1.21,2.153,13.413,-2.506,-10.392,-5.325,-4.743,-1.4809,2.0855,-2.2319
0.7585,-3.0234,-0.0839,0.433,7.216,-0.593,7.037,-7.493,-7.401,7.67,10.821,3.307,-7.247,3.986,-2.2082,-3.0581,0.2872
-1.8206,-0.123,0.3414,0.764,-3.157,3.478,-16.185,11.251,-9.545,0.543,-7.437,-0.513,4.421,4.191,-2.248,-0.3524,-1.8526
-2.5549,0.0204,-2.2918,7.078,1.954,1.342,3.824,-5.507,-2.696,-1.826,-9.268,-5.742,-10.713,-8.443,-3.0912,4.2351,-6.2398
-1.6225,0.1159,1.737,0.108,9.912,-5.812,-2.716,-0.366,3.982,4.392,16.047,-11.131,0.064,2.253,-1.9277,-0.2471,0.0416
0.5238,-0.3889,-0.7224,4.409,-5.167,-4.176,1.579,8.561,-8.692,4.957,-6.293,-3.163,-0.288,-13.422,0.2807,0.4682,-0.4805
0.9708,-0.3629,-2.0617,2.859,2.864,-3.191,0.851,2.495,5.174,6.226,12.487,-1.414,2.985,-3.793,0.7376,3.089,-1.8599
-0.3732,0.4669,0.3683,-9.264,3.785,6.422,-4.497,-2.445,-5.734,-1.553,1.033,-0.623,-1.975,5.233,-0.178,0.2411,0.1183
0.4319,1.3703,0.5552,0.068,-2.246,-8.32,-7.697,-13.725,0.293,-7.352,3.425,4.015,-9.896,-6.518,1.7816,0.9928,0.8543
0.4371,-0.0638,1.2127,-5.177,-2.837,8.328,-4.623,4.233,-24.065,6.895,7.918,-5.596,-2.648,-1.334,0.4134,-0.552,1.5417
-0.4062,-0.0806,-0.0835,-0.247,-9.04,-8.151,-0.915,10.183,0.785,-1.671,-18.186,-2.365,-2.415,-2.93,-0.5,-0.0343,-0.4347
-0.8645,1.5117,-0.3691,3.156,8.112,2.621,-11.53,-3.024,-5.506,8.573,-22.945,1.196,3.133,-7.616,-0.2952,1.9297,-1.2991
0.3738,1.811,1.6609,0.241,-1.954,-5.387,-17.335,-2.043,-2.849,-5.831,9.975,-0.492,-6.419,-3.236,2.1309,1.481,2.0642
-0.1549,-0.5192,0.2437,7.598,-9.96,2.559,-0.863,-16.983,-7.586,19.164,-7.056,-5.758,10.563,-6.81,-0.6492,-0.7632,0.2009
-0.7621,-0.9972,0.0829,2.293,-6.478,7.048,5.893,2.338,-3.342,-2.614,-8.292,14.462,-7.157,8.679,-1.5753,-1.1319,-0.6356
0.8035,0.2354,-1.8162,2.234,2.71,1.673,-6.543,-7.496,-3.332,-24.618,3.455,-17.252,-5.62,5.34,1.1977,3.2074,-1.5769
-1.3694,-0.1631,-0.3755,5.905,-5.347,-24.885,-4.793,-0.546,-13.464,2.758,5.27,7.968,-2.843,-5.428,-1.8235,0.1823,-1.937
1.3823,-1.3119,1.6186,-6.637,1.64,1.393,4.091,2.128,-2.399,-4.932,-8.651,-1.59,-0.784,12.745,0.0681,-1.7036,2.1383
-0.2333,2.2754,-0.4856,-6.032,3.892,5.912,-2.252,13.395,15.544,10.065,-3.109,1.64,-2.557,-5.102,1.4068,2.7686,-0.7652
-1.0778,-1.2791,1.3463,4.403,10.877,-2.372,2.412,-3.134,7.346,15.768,-2.069,-7.88,6.039,-3.702,-1.9066,-1.7967,0.3969
-0.5187,0.6372,0.9158,-1.616,-2.575,-11.385,1.055,-8.789,-1.823,-6.414,-6.667,-7.306,9.247,5.557,-0.2335,0.109,0.5843
-0.7482,-1.133,0.0222,-3.963,-2.209,-2.455,0.873,2.371,-1.631,0.063,-2.179,-9.609,-2.182,-8.636,-1.4974,-1.1808,-0.6441
-0.4695,-1.7837,-0.01,-2.11,5.644,19.202,-4.548,14.696,5.806,-10.036,-6.232,-6.905,-0.519,5.495,-1.7359,-1.8179,-0.34
0.0992,1.2255,-0.7166,3.617,10.956,14.085,10.332,9.69,4.031,10.757,7.042,8.762,13.756,-4.01,1.0365,2.1021,-0.6394
-1.2905,0.1543,0.7392,2.368,-15.631,-1.591,3.936,1.397,5.607,-4.294,-1.675,-7.57,-8.408,-5.253,-1.5232,-0.288,-0.5117
1.9134,0.4004,-1.094,1.514,-5.799,-4.839,-5.518,-0.536,-10.162,-11.042,5.619,0.035,-7.378,1.236,2.9247,1.8738,-0.9521
0.9891,1.6656,-0.1779,-7.71,-16.043,-1.229,3.77,5.641,-4.153,0.645,-9.605,-1.118,11.939,3.464,2.9899,1.8325,0.2606
-0.1973,1.1259,-0.7529,1.654,2.34,0.583,-2.135,5.564,-9.76,-2.574,1.945,6.093,-9.778,16.672,0.6414,1.9944,-1.0199
1.5211,0.4159,0.0793,-2.413,-8.956,0.418,14.175,-4.197,-4.249,-2.329,13.106,-2.323,-8.115,-12.274,2.2473,0.3621,0.5202
0.8514,-1.3242,0.8134,-3.104,-2.299,2.985,-6.153,10.286,-4.265,-17.173,-7.017,-11.242,-16.864,2.176,-0.4442,-1.7906,1.2908
0.3547,1.9922,-1.0942,-3.095,11.359,1.536,-1.128,-4.755,4.943,3.469,-0.27,0.495,21.325,-2.106,2.2635,3.484,-0.9945
1.4688,0.4049,-0.8635,-9.841,-4.83,6.821,12.549,-14.229,2.748,-4.096,8.034,3.484,-13.05,-8.585,2.2724,1.4566,-0.5943
0.0713,1.7123,-0.5666,-6.145,-11.757,0.865,7.992,-9.288,-3.673,14.192,15.038,-7.16,3.568,-1.614,1.5538,2.4003,-0.5335
1.288,0.5546,-1.6459,-5.985,-4.028,8.895,-2.39,-0.839,-4.926,-8.29,-7.475,-5.26,6.702,-6.195,2.2656,3.0834,-1.3724
-0.1885,-1.4152,-1.2169,4.745,-15.177,-1.811,5.617,-11.287,4.83,-10.151,-5.366,-1.289,9.378,4.593,-1.3188,0.2389,-1.4873
0.9372,1.2599,0.5981,0.483,0.721,-2.91,1.32,-3.048,2.058,-2.977,7.656,7.285,-2.74,-5.156,2.4932,0.8755,1.1312
1.3405,0.5808,0.3842,-4.808,-6.676,4.311,-9.841,-7.264,-22.275,-12.464,7.88,9.665,-4.594,10.679,2.285,0.3462,0.8261
2.2183,-0.6021,0.1832,11.802,-8.747,-4.117,-5.143,-13.807,-1.737,4.584,6.753,-0.546,4.36,6.298,1.8186,-0.7924,0.2861
-1.1465,-0.0008,1.0949,-6.881,-3.499,-3.104,8.528,13.202,5.058,-14.404,9.115,3.26,-1.302,8.175,-1.3632,-0.4535,-0.0758
-0.8476,0.3885,-1.001,-0.802,-0.685,-6.188,5.489,0.431,-3.659,-6.856,12.587,2.153,1.009,-3.849,-0.7754,1.6859,-1.9292
-0.6738,2.4393,0.7272,1.25,-2.025,3.794,0.111,-5.26,4.042,-8.263,-9.29,11.11,-0.986,5.352,0.585,1.9913,0.2382
1.1885,-1.2805,-1.0535,9.242,-5.68,-14.69,2.189,9.78,-2.96,-8.407,7.905,22.967,-4.856,2.221,-0.058,0.1125,-0.7273
1.4317,-0.4694,-2.4459,8.856,10.434,8.793,5.803,9.346,2.453,7.671,18.052,-6.265,0.662,-6.289,1.1825,4.13,-2.2748
0.4117,-0.2124,1.1065,10.045,0.968,5.758,-9.072,-4.252,0.961,-2.942,-4.701,9.492,-0.155,-3.211,0.2307,-0.7205,1.4415
-0.7029,-1.6772,-1.794,2.753,0.537,3.719,7.549,7.024,0.398,-5.856,-4.448,0.583,3.559,5.22,-1.879,1.2568,-2.5885
0.4953,-0.1978,1.1244,-4.418,-0.291,2.331,-11.915,-5.064,-0.628,5.08,-1.737,0.855,-3.388,-8.482,0.4716,-0.7011,1.4792
0.0993,-0.6324,-0.3276,2.811,17.831,9.357,-8.166,17.763,-8.561,-6.549,6.589,-15.342,3.682,13.365,-0.3842,-0.2893,-0.3271
-1.3971,0.7793,2.8546,-1.482,0.594,9.173,-5.22,4.508,-6.275,5.134,-5.975,1.946,7.988,-1.488,-1.4586,1.3659,1.5734
-0.9751,-0.0734,0.4516,0.558,-8.955,5.804,4.989,-2.136,16.465,0.548,-7.861,5.192,13.328,7.721,-1.2437,-0.4369,-0.428
-1.1773,0.646,-0.0004,-4.36,10.617,-2.089,6.073,-6.889,7.475,-0.857,-6.373,-0.814,-0.664,-13.436,-1.1159,0.6384,-1.3009
-0.564,0.2816,-2.9396,-2.094,1.428,5.419,-2.991,1.51,-3.774,16.35,5.126,2.833,-3.167,3.641,-0.5473,6.3526,-3.7145
-0.4188,2.2092,-1.7844,3.362,4.978,16.286,-4.141,6.573,-5.297,3.387,-1.851,4.465,2.982,-5.642,0.972,5.0611,-2.3501
0.9497,-0.2797,0.6608,-0.15,16.767,1.381,-5.755,-2.177,7.786,-4.312,-2.215,4.059,-1.017,-0.88,0.8823,-0.7421,1.1768
0.7746,-0.6883,-0.9329,0.38,-7.551,1.896,-10.542,0.724,10.113,-6.089,-5.166,4.914,5.938,-3.997,0.2221,0.4405,-0.6937
-0.618,1.6336,-0.2651,-0.434,-13.359,-8.346,-1.73,-0.35,3.048,-4.308,0.527,0.421,4.695,-8.927,0.2178,1.7816,-0.862
0.9561,-0.4765,-0.4762,-4.482,3.494,-12.938,-0.557,-8.975,-0.148,-5.852,6.692,-3.405,2.561,8.305,0.5883,0.025,-0.1884
-1.1957,0.6441,-0.9219,-0.175,-4.253,-10.974,12.355,-4.456,-10.942,-23.674,-5.862,14.153,1.595,3.921,-1.0662,1.8687,-2.2732
-0.3498,0.5014,1.1004,-9.487,-2.453,20.486,-4.118,3.663,4.851,-1.681,-7.246,1.528,12.49,6.762,-0.0823,0.0124,0.9692
0.1504,-1.8251,1.5237,-2.273,5.923,-11.671,10.871,6.916,-12.047,1.973,7.202,0.471,6.609,-12.506,-1.3638,-2.2739,1.7496
0.1451,1.3861,-0.545,-4.292,4.118,2.765,5.332,-5.796,-8.465,-15.945,3.398,15.797,6.116,-7.034,1.373,2.0585,-0.4578
-0.6905,0.0975,0.0108,-0.374,10.033,-16.236,-10.452,0.802,5.006,-14.298,-2.702,-5.597,4.853,-6.15,-0.7167,0.1159,-0.6498
-1.0197,0.3683,0.1872,2.772,-1.872,6.286,0.132,13.2,8.332,7.562,-11.328,-11.152,0.709,-5.837,-1.1022,0.1548,-0.9042
0.9511,-1.7566,-0.7499,-6.083,-12.426,8.467,-6.466,-12.873,-0.109,1.463,7.735,-0.425,-6.167,-4.684,-0.773,-0.8835,-0.4612
-0.5091,1.3231,-0.6098,0.43,-9.071,-6.003,8.022,-3.064,-5.655,11.601,-7.784,8.155,8.841,-1.134,0.2417,1.9704,-1.1249
-0.535,-0.8396,-1.6663,-4.157,-6.934,-3.614,13.298,5.397,-0.809,-7.328,-0.625,-5.747,2.82,-6.62,-1.1248,1.7263,-2.2999
-1.0588,2.8115,-0.3893,-1.69,1.221,-8.353,-0.844,3.899,6.851,-4.418,16.956,-5.263,-0.322,2.784,0.0491,3.2599,-1.5063
-1.3867,0.1302,0.6037,-2.118,-7.305,14.978,-4.362,8.357,-6.148,3.104,-12.136,-1.672,3.653,11.748,-1.5315,-0.2941,-0.9097
1.257,0.6517,0.0384,3.817,0.885,-5.679,-7.562,-5.171,-2.19,3.416,10.945,-14.294,8.868,-17.255,2.291,0.621,0.4791
0.1071,0.5588,0.0246,8.396,-4.884,-2.451,16.101,-9.934,7.992,-6.285,-3.348,3.092,-13.318,-0.546,0.491,0.5164,0.0994
-1.2785,-1.7736,-0.9555,-2.285,5.056,-3.529,-1.456,-0.97,11.51,3.452,0.614,-1.63,8.748,6.269,-2.3585,-0.4423,-2.462
0.7118,-0.113,-0.6541,-0.854,-8.151,0.069,16.547,2.307,-10.702,1.555,6.622,3.513,-3.125,1.026,0.721,0.6381,-0.3151
-0.0515,-0.3779,-0.23,-8.292,14.231,-4.399,2.11,1.908,1.952,0.982,5.377,-3.318,-6.49,-6.121,-0.402,-0.1706,-0.2477
-0.8794,-0.303,-0.6284,-10.419,-4.97,-0.224,7.528,-3.069,-6.498,10.563,3.282,-3.118,-18.512,-4.593,-1.2691,0.4619,-1.5771
-0.8237,0.0416,1.2132,-3.783,-1.888,-2.83,-5.491,-1.225,0.943,10.778,1.263,-3.803,-13.515,-4.927,-0.9397,-0.4411,0.5448
